50100	士氣降低	icon_status.minusattack_tex	因不斷的戰鬥導致士氣降低而減少攻擊力。需要休息。
52140	抗打增加 IV	icon_items.magicalpaper4_tex	隨著神官證明的奇異力量，將會提升抗打能力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52150	抗打增加 IV	icon_items.magicalpaper4_tex	隨著三色護身符的奇異力量，將會提升抗打。若健康狀態良好，效果最高將會維持30分鐘，並隨著健康狀態而讓效果大小有所不同。
52200	暴擊抵抗增加 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將會提升被暴擊的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52210	暴擊抵抗增加 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將會提升被暴擊的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52220	暴擊抵抗增加 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將會提升被暴擊的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52230	暴擊抵抗增加 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將會提升被暴擊的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52300	擊倒抵抗增加 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將會提升被擊倒的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52310	擊倒抵抗增加 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將會提升被擊倒的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52320	擊倒抵抗增加 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將會提升被擊倒的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52330	擊倒抵抗增加 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將會提升被擊倒的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52400	狀態弱化抵抗增加 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將會提升被狀態弱化的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52410	狀態弱化抵抗增加 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將會提升被狀態弱化的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52420	狀態弱化抵抗增加 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將會提升被狀態弱化的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52430	狀態弱化抵抗增加 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將會提升被狀態弱化的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52500	持續傷害抵抗增加 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將會提升被持續傷害的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52510	持續傷害抵抗增加 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將會提升被持續傷害的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52520	持續傷害抵抗增加 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將會提升被持續傷害的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52530	持續傷害抵抗增加 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將會提升被持續傷害的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52600	無法行動抵抗增加 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將會提升被限制行動的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52610	無法行動抵抗增加 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將會提升被限制行動的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52620	無法行動抵抗增加 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將會提升被限制行動的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52630	無法行動抵抗增加 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將會提升被限制行動的抵抗力。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52700	傷害反噬 I	icon_items.magicalpaper1_tex	隨著神秘符咒的奇異力量，將被攻擊時所受到的部分傷害反彈給攻擊者。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52710	傷害反噬 II	icon_items.magicalpaper2_tex	隨著神秘符咒的奇異力量，將被攻擊時所受到的部分傷害反彈給攻擊者。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52720	傷害反噬 III	icon_items.magicalpaper3_tex	隨著神秘符咒的奇異力量，將被攻擊時所受到的部分傷害反彈給攻擊者。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
52730	傷害反噬 IV	icon_items.magicalpaper4_tex	隨著神秘符咒的奇異力量，將被攻擊時所受到的部分傷害反彈給攻擊者。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53100	最大HP增加 I	icon_items.abnormalpaper1_tex	隨著奇怪符咒的奇異力量，將會提升最大HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53110	最大HP增加 II	icon_items.abnormalpaper2_tex	隨著奇怪符咒的奇異力量，將會提升最大HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53120	最大HP增加 III	icon_items.abnormalpaper3_tex	隨著奇怪符咒的奇異力量，將會提升最大HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53130	最大HP增加 IV	icon_items.abnormalpaper4_tex	隨著奇怪符咒的奇異力量，將會提升最大HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53200	最大MP增加 I	icon_items.abnormalpaper1_tex	隨著奇怪符咒的奇異力量，將會提升最大MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53210	最大MP增加 II	icon_items.abnormalpaper2_tex	隨著奇怪符咒的奇異力量，將會提升最大MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53220	最大MP增加 III	icon_items.abnormalpaper3_tex	隨著奇怪符咒的奇異力量，將會提升最大MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53230	最大MP增加 IV	icon_items.abnormalpaper4_tex	隨著奇怪符咒的奇異力量，將會提升最大MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53300	HP持續恢復 I	icon_items.abnormalpaper1_tex	隨著奇怪符咒的奇異力量，將會持續的恢復HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53310	HP持續恢復 II	icon_items.abnormalpaper2_tex	隨著奇怪符咒的奇異力量，將會持續的恢復HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53320	HP持續恢復 III	icon_items.abnormalpaper3_tex	隨著奇怪符咒的奇異力量，將會持續的恢復HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53330	HP持續恢復 IV	icon_items.abnormalpaper4_tex	隨著奇怪符咒的奇異力量，將會持續的恢復HP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
533300	HP持續恢復 IV	icon_items.abnormalpaper4_tex	隨著奇怪符咒的奇異力量，將會持續的恢復HP。若健康狀態良好，效果最高將會維持30分鐘，並隨著健康狀態而讓效果大小有所不同。
53400	MP持續恢復 I	icon_items.abnormalpaper1_tex	隨著奇怪符咒的奇異力量，將會持續的恢復MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53410	MP持續恢復 II	icon_items.abnormalpaper2_tex	隨著奇怪符咒的奇異力量，將會持續的恢復MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53420	MP持續恢復 III	icon_items.abnormalpaper3_tex	隨著奇怪符咒的奇異力量，將會持續的恢復MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53430	MP持續恢復 IV	icon_items.abnormalpaper4_tex	隨著奇怪符咒的奇異力量，將會持續的恢復MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53440	MP 持續恢復 IV	icon_items.abnormalpaper4_tex	隨著神官證明的奇異力量，將會持續的恢復MP。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53450	MP持續恢復 IV	icon_items.abnormalpaper4_tex	隨著三色護身符的奇異力量，將會持續恢復MP。若健康狀態良好，效果最高將會維持30分鐘，並隨著健康狀態而讓效果大小有所不同。
53500	移動速度增加 I	icon_items.abnormalpaper1_tex	隨著奇怪符咒的奇異力量，將會提升移動速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53510	移動速度增加 II	icon_items.abnormalpaper2_tex	隨著奇怪符咒的奇異力量，將會提升移動速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53520	移動速度增加 III	icon_items.abnormalpaper3_tex	隨著奇怪符咒的奇異力量，將會提升移動速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
53530	移動速度增加 IV	icon_items.abnormalpaper4_tex	隨著奇怪符咒的奇異力量，將會提升移動速度。若健康狀態良好，效果最高將會維持15分鐘，並隨著健康狀態而讓效果大小有所不同。
