50100	士気低下	icon_status.minusattack_tex	長期戦により士気が低下し、攻撃力が減少します。休息が必要です。
51330	攻撃速度上昇 IV	icon_items.mysterypaper4_tex	護符の効果により、基本攻撃スキルの攻撃速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51400	ダウン誘発上昇 I	icon_items.mysterypaper1_tex	護符の効果により、ダウン誘発が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51410	ダウン誘発上昇 II	icon_items.mysterypaper2_tex	護符の効果により、ダウン誘発が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51420	ダウン誘発上昇 III	icon_items.mysterypaper3_tex	護符の効果により、ダウン誘発が上昇します。コンディションによって効果が変わり、最大15分間持続します。
51430	ダウン誘発上昇 IV	icon_items.mysterypaper4_tex	護符の効果により、ダウン誘発が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52100	耐久力上昇 I	icon_items.magicalpaper1_tex	護符の効果により、耐久力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52110	耐久力上昇 II	icon_items.magicalpaper2_tex	護符の効果により、耐久力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52120	耐久力上昇 III	icon_items.magicalpaper3_tex	護符の効果により、耐久力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52130	耐久力上昇 IV	icon_items.magicalpaper4_tex	護符の効果により、耐久力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52140	耐久力上昇 IV	icon_items.magicalpaper4_tex	神官の証票の奇妙な力により、耐久力が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52150	耐久力上昇 IV	icon_items.magicalpaper4_tex	三色護符の奇妙な力により、耐久力が上昇します。コンディションによって効果が変わり、最大30分間持続します。
52200	クリティカル抵抗上昇 I	icon_items.magicalpaper1_tex	護符の効果により、クリティカル抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52210	クリティカル抵抗上昇 II	icon_items.magicalpaper2_tex	護符の効果により、クリティカル抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52220	クリティカル抵抗上昇 III	icon_items.magicalpaper3_tex	護符の効果により、クリティカル抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52230	クリティカル抵抗上昇 IV	icon_items.magicalpaper4_tex	護符の効果により、クリティカル抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52300	ダウン抵抗上昇 I	icon_items.magicalpaper1_tex	護符の効果により、ダウン抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52310	ダウン抵抗上昇 II	icon_items.magicalpaper2_tex	護符の効果により、ダウン抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52320	ダウン抵抗上昇 III	icon_items.magicalpaper3_tex	護符の効果により、ダウン抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52330	ダウン抵抗上昇 IV	icon_items.magicalpaper4_tex	護符の効果により、ダウン抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52400	状態弱化抵抗上昇 I	icon_items.magicalpaper1_tex	護符の効果により、状態弱化抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52410	状態弱化抵抗上昇 II	icon_items.magicalpaper2_tex	護符の効果により、状態弱化抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52420	状態弱化抵抗上昇 III	icon_items.magicalpaper3_tex	護符の効果により、状態弱化抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52430	状態弱化抵抗上昇 IV	icon_items.magicalpaper4_tex	護符の効果により、状態弱化抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52500	持続ダメージ抵抗上昇 I	icon_items.magicalpaper1_tex	護符の効果により、ダメージ抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52510	持続ダメージ抵抗上昇 II	icon_items.magicalpaper2_tex	護符の効果により、ダメージ抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52520	持続ダメージ抵抗上昇 III	icon_items.magicalpaper3_tex	護符の効果により、ダメージ抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52530	持続ダメージ抵抗上昇 IV	icon_items.magicalpaper4_tex	護符の効果により、ダメージ抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52600	行動不能抵抗上昇 I	icon_items.magicalpaper1_tex	護符の効果により、行動不能抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52610	行動不能抵抗上昇 II	icon_items.magicalpaper2_tex	護符の効果により、行動不能抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52620	行動不能抵抗上昇 III	icon_items.magicalpaper3_tex	護符の効果により、行動不能抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52630	行動不能抵抗上昇 IV	icon_items.magicalpaper4_tex	護符の効果により、行動不能抵抗が上昇します。コンディションによって効果が変わり、最大15分間持続します。
52700	ダメージ返し I	icon_items.magicalpaper1_tex	護符の効果により、ダメージの一部を攻撃者に返します。コンディションによって効果が変わり、最大15分間持続します。
52710	ダメージ返し II	icon_items.magicalpaper2_tex	護符の効果により、ダメージの一部を攻撃者に返します。コンディションによって効果が変わり、最大15分間持続します。
52720	ダメージ返し III	icon_items.magicalpaper3_tex	護符の効果により、ダメージの一部を攻撃者に返します。コンディションによって効果が変わり、最大15分間持続します。
52730	ダメージ返し IV	icon_items.magicalpaper4_tex	護符の効果により、ダメージの一部を攻撃者に返します。コンディションによって効果が変わり、最大15分間持続します。
53100	最大HP増加 I	icon_items.abnormalpaper1_tex	護符の効果により、最大HPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53110	最大HP増加 II	icon_items.abnormalpaper2_tex	護符の効果により、最大HPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53120	最大HP増加 III	icon_items.abnormalpaper3_tex	護符の効果により、最大HPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53130	最大HP増加 IV	icon_items.abnormalpaper4_tex	護符の効果により、最大HPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53200	最大MP増加 I	icon_items.abnormalpaper1_tex	護符の効果により、最大MPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53210	最大MP増加 II	icon_items.abnormalpaper2_tex	護符の効果により、最大MPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53220	最大MP増加 III	icon_items.abnormalpaper3_tex	護符の効果により、最大MPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53230	最大MP増加 IV	icon_items.abnormalpaper4_tex	護符の効果により、最大MPが増加します。コンディションによって効果が変わり、最大15分間持続します。
53300	HP持続回復 I	icon_items.abnormalpaper1_tex	護符の効果により、HPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53310	HP持続回復 II	icon_items.abnormalpaper2_tex	護符の効果により、HPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53320	HP持続回復 III	icon_items.abnormalpaper3_tex	護符の効果により、HPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53330	HP持続回復 IV	icon_items.abnormalpaper4_tex	護符の効果により、HPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53400	MP持続回復 I	icon_items.abnormalpaper1_tex	護符の効果により、MPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53410	MP持続回復 II	icon_items.abnormalpaper2_tex	護符の効果により、MPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53420	MP持続回復 III	icon_items.abnormalpaper3_tex	護符の効果により、MPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53430	MP持続回復 IV	icon_items.abnormalpaper4_tex	護符の効果により、MPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53440	MP持続回復 IV	icon_items.abnormalpaper4_tex	神官の証票の奇妙な力により、MPが持続的に回復します。コンディションによって効果が変わり、最大15分間持続します。
53450	MP持続回復 IV	icon_items.abnormalpaper4_tex	三色護符の奇妙な力により、MPが持続的に回復します。コンディションによって効果が変わり、最大30分間持続します。
53500	移動速度上昇 I	icon_items.abnormalpaper1_tex	護符の効果により、移動速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
53510	移動速度上昇 II	icon_items.abnormalpaper2_tex	護符の効果により、移動速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
53520	移動速度上昇 III	icon_items.abnormalpaper3_tex	護符の効果により、移動速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
53530	移動速度上昇 IV	icon_items.abnormalpaper4_tex	護符の効果により、移動速度が上昇します。コンディションによって効果が変わり、最大15分間持続します。
